season,round,id,abbr,type,totalPoints,nnTotalPoints
2023,1,ALF_BOT,BOT,driver,13,13
2023,1,ALF_ZHO,ZHO,driver,15,15
2023,1,ALP_GAS,GAS,driver,20,20
2023,1,ALP_OCO,OCO,driver,-17,0
2023,1,ALT_DEV,DEV,driver,8,8
2023,1,ALT_TSU,TSU,driver,8,8
2023,1,AST_ALO,ALO,driver,39,39
2023,1,AST_STR,STR,driver,17,17
2023,1,FER_LEC,LEC,driver,-11,0
2023,1,FER_SAI,SAI,driver,19,19
2023,1,HAA_HUL,HUL,driver,-1,0
2023,1,HAA_MAG,MAG,driver,8,8
2023,1,MCL_NOR,NOR,driver,-1,0
2023,1,MCL_PIA,PIA,driver,-16,0
2023,1,MER_HAM,HAM,driver,19,19
2023,1,MER_RUS,RUS,driver,16,16
2023,1,RED_PER,PER,driver,28,28
2023,1,RED_VER,VER,driver,35,35
2023,1,WIL_ALB,ALB,driver,13,13
2023,1,WIL_SAR,SAR,driver,11,11
2023,2,ALF_BOT,BOT,driver,-2,0
2023,2,ALF_ZHO,ZHO,driver,6,6
2023,2,ALP_GAS,GAS,driver,6,6
2023,2,ALP_OCO,OCO,driver,7,7
2023,2,ALT_DEV,DEV,driver,7,7
2023,2,ALT_TSU,TSU,driver,9,9
2023,2,AST_ALO,ALO,driver,23,23
2023,2,AST_STR,STR,driver,-14,0
2023,2,FER_LEC,LEC,driver,27,27
2023,2,FER_SAI,SAI,driver,12,12
2023,2,HAA_HUL,HUL,driver,1,1
2023,2,HAA_MAG,MAG,driver,9,9
2023,2,MCL_NOR,NOR,driver,7,7
2023,2,MCL_PIA,PIA,driver,2,2
2023,2,MER_HAM,HAM,driver,16,16
2023,2,MER_RUS,RUS,driver,18,18
2023,2,RED_PER,PER,driver,36,36
2023,2,RED_VER,VER,driver,61,61
2023,2,WIL_ALB,ALB,driver,-17,0
2023,2,WIL_SAR,SAR,driver,2,2
2023,3,ALF_BOT,BOT,driver,12,12
2023,3,ALF_ZHO,ZHO,driver,15,15
2023,3,ALP_GAS,GAS,driver,1,1
2023,3,ALP_OCO,OCO,driver,2,2
2023,3,ALT_DEV,DEV,driver,3,3
2023,3,ALT_TSU,TSU,driver,7,7
2023,3,AST_ALO,ALO,driver,23,23
2023,3,AST_STR,STR,driver,21,21
2023,3,FER_LEC,LEC,driver,-15,0
2023,3,FER_SAI,SAI,driver,8,8
2023,3,HAA_HUL,HUL,driver,11,11
2023,3,HAA_MAG,MAG,driver,2,2
2023,3,MCL_NOR,NOR,driver,19,19
2023,3,MCL_PIA,PIA,driver,16,16
2023,3,MER_HAM,HAM,driver,29,29
2023,3,MER_RUS,RUS,driver,-7,0
2023,3,RED_PER,PER,driver,52,52
2023,3,RED_VER,VER,driver,36,36
2023,3,WIL_ALB,ALB,driver,-15,0
2023,3,WIL_SAR,SAR,driver,5,5
2023,4,ALF_BOT,BOT,driver,-1,0
2023,4,ALF_ZHO,ZHO,driver,-10,0
2023,4,ALP_GAS,GAS,driver,17,17
2023,4,ALP_OCO,OCO,driver,7,7
2023,4,ALT_DEV,DEV,driver,-15,0
2023,4,ALT_TSU,TSU,driver,-13,0
2023,4,AST_ALO,ALO,driver,27,27
2023,4,AST_STR,STR,driver,18,18
2023,4,FER_LEC,LEC,driver,29,29
2023,4,FER_SAI,SAI,driver,21,21
2023,4,HAA_HUL,HUL,driver,2,2
2023,4,HAA_MAG,MAG,driver,16,16
2023,4,MCL_NOR,NOR,driver,0,0
2023,4,MCL_PIA,PIA,driver,8,8
2023,4,MER_HAM,HAM,driver,19,19
2023,4,MER_RUS,RUS,driver,25,25
2023,4,RED_PER,PER,driver,61,61
2023,4,RED_VER,VER,driver,37,37
2023,4,WIL_ALB,ALB,driver,2,2
2023,4,WIL_SAR,SAR,driver,0,0
2023,5,ALF_BOT,BOT,driver,2,2
2023,5,ALF_ZHO,ZHO,driver,1,1
2023,5,ALP_GAS,GAS,driver,10,10
2023,5,ALP_OCO,OCO,driver,8,8
2023,5,ALT_DEV,DEV,driver,0,0
2023,5,ALT_TSU,TSU,driver,16,16
2023,5,AST_ALO,ALO,driver,25,25
2023,5,AST_STR,STR,driver,12,12
2023,5,FER_LEC,LEC,driver,16,16
2023,5,FER_SAI,SAI,driver,20,20
2023,5,HAA_HUL,HUL,driver,4,4
2023,5,HAA_MAG,MAG,driver,6,6
2023,5,MCL_NOR,NOR,driver,1,1
2023,5,MCL_PIA,PIA,driver,5,5
2023,5,MER_HAM,HAM,driver,24,24
2023,5,MER_RUS,RUS,driver,28,28
2023,5,RED_PER,PER,driver,28,28
2023,5,RED_VER,VER,driver,64,64
2023,5,WIL_ALB,ALB,driver,-1,0
2023,5,WIL_SAR,SAR,driver,1,1
2023,7,ALF_BOT,BOT,driver,10,10
2023,7,ALF_ZHO,ZHO,driver,11,11
2023,7,ALP_GAS,GAS,driver,10,10
2023,7,ALP_OCO,OCO,driver,32,32
2023,7,ALT_DEV,DEV,driver,0,0
2023,7,ALT_TSU,TSU,driver,-4,0
2023,7,AST_ALO,ALO,driver,27,27
2023,7,AST_STR,STR,driver,-17,0
2023,7,FER_LEC,LEC,driver,16,16
2023,7,FER_SAI,SAI,driver,6,6
2023,7,HAA_HUL,HUL,driver,7,7
2023,7,HAA_MAG,MAG,driver,1,1
2023,7,MCL_NOR,NOR,driver,6,6
2023,7,MCL_PIA,PIA,driver,4,4
2023,7,MER_HAM,HAM,driver,28,28
2023,7,MER_RUS,RUS,driver,16,16
2023,7,RED_PER,PER,driver,10,10
2023,7,RED_VER,VER,driver,35,35
2023,7,WIL_ALB,ALB,driver,0,0
2023,7,WIL_SAR,SAR,driver,0,0
2023,8,ALF_BOT,BOT,driver,2,2
2023,8,ALF_ZHO,ZHO,driver,16,16
2023,8,ALP_GAS,GAS,driver,14,14
2023,8,ALP_OCO,OCO,driver,9,9
2023,8,ALT_DEV,DEV,driver,6,6
2023,8,ALT_TSU,TSU,driver,11,11
2023,8,AST_ALO,ALO,driver,14,14
2023,8,AST_STR,STR,driver,16,16
2023,8,FER_LEC,LEC,driver,14,14
2023,8,FER_SAI,SAI,driver,19,19
2023,8,HAA_HUL,HUL,driver,3,3
2023,8,HAA_MAG,MAG,driver,9,9
2023,8,MCL_NOR,NOR,driver,-2,0
2023,8,MCL_PIA,PIA,driver,3,3
2023,8,MER_HAM,HAM,driver,39,39
2023,8,MER_RUS,RUS,driver,31,31
2023,8,RED_PER,PER,driver,27,27
2023,8,RED_VER,VER,driver,46,46
2023,8,WIL_ALB,ALB,driver,5,5
2023,8,WIL_SAR,SAR,driver,1,1
2023,9,ALF_BOT,BOT,driver,6,6
2023,9,ALF_ZHO,ZHO,driver,4,4
2023,9,ALP_GAS,GAS,driver,8,8
2023,9,ALP_OCO,OCO,driver,11,11
2023,9,ALT_DEV,DEV,driver,-1,0
2023,9,ALT_TSU,TSU,driver,8,8
2023,9,AST_ALO,ALO,driver,27,27
2023,9,AST_STR,STR,driver,14,14
2023,9,FER_LEC,LEC,driver,19,19
2023,9,FER_SAI,SAI,driver,22,22
2023,9,HAA_HUL,HUL,driver,-1,0
2023,9,HAA_MAG,MAG,driver,0,0
2023,9,MCL_NOR,NOR,driver,2,2
2023,9,MCL_PIA,PIA,driver,3,3
2023,9,MER_HAM,HAM,driver,23,23
2023,9,MER_RUS,RUS,driver,-12,0
2023,9,RED_PER,PER,driver,28,28
2023,9,RED_VER,VER,driver,35,35
2023,9,WIL_ALB,ALB,driver,22,22
2023,9,WIL_SAR,SAR,driver,-19,0
2023,10,ALF_BOT,BOT,driver,5,5
2023,10,ALF_ZHO,ZHO,driver,10,10
2023,10,ALP_GAS,GAS,driver,7,7
2023,10,ALP_OCO,OCO,driver,9,9
2023,10,ALT_DEV,DEV,driver,9,9
2023,10,ALT_TSU,TSU,driver,4,4
2023,10,AST_ALO,ALO,driver,28,28
2023,10,AST_STR,STR,driver,25,25
2023,10,FER_LEC,LEC,driver,32,32
2023,10,FER_SAI,SAI,driver,31,31
2023,10,HAA_HUL,HUL,driver,-4,0
2023,10,HAA_MAG,MAG,driver,13,13
2023,10,MCL_NOR,NOR,driver,29,29
2023,10,MCL_PIA,PIA,driver,20,20
2023,10,MER_HAM,HAM,driver,31,31
2023,10,MER_RUS,RUS,driver,34,34
2023,10,RED_PER,PER,driver,51,51
2023,10,RED_VER,VER,driver,56,56
2023,10,WIL_ALB,ALB,driver,11,11
2023,10,WIL_SAR,SAR,driver,19,19
2023,11,ALF_BOT,BOT,driver,-5,0
2023,11,ALF_ZHO,ZHO,driver,6,6
2023,11,ALP_GAS,GAS,driver,-3,0
2023,11,ALP_OCO,OCO,driver,-18,0
2023,11,ALT_DEV,DEV,driver,3,3
2023,11,ALT_TSU,TSU,driver,3,3
2023,11,AST_ALO,ALO,driver,12,12
2023,11,AST_STR,STR,driver,2,2
2023,11,FER_LEC,LEC,driver,6,6
2023,11,FER_SAI,SAI,driver,4,4
2023,11,HAA_HUL,HUL,driver,0,0
2023,11,HAA_MAG,MAG,driver,-19,0
2023,11,MCL_NOR,NOR,driver,38,38
2023,11,MCL_PIA,PIA,driver,20,20
2023,11,MER_HAM,HAM,driver,25,25
2023,11,MER_RUS,RUS,driver,18,18
2023,11,RED_PER,PER,driver,26,26
2023,11,RED_VER,VER,driver,46,46
2023,11,WIL_ALB,ALB,driver,8,8
2023,11,WIL_SAR,SAR,driver,6,6
2023,12,ALF_BOT,BOT,driver,0,0
2023,12,ALF_ZHO,ZHO,driver,-4,0
2023,12,ALP_GAS,GAS,driver,-19,0
2023,12,ALP_OCO,OCO,driver,-19,0
2023,12,ALT_DEV,DEV,driver,0,0
2023,12,ALT_RIC,RIC,driver,2,2
2023,12,ALT_TSU,TSU,driver,5,5
2023,12,AST_ALO,ALO,driver,7,7
2023,12,AST_STR,STR,driver,9,9
2023,12,FER_LEC,LEC,driver,12,12
2023,12,FER_SAI,SAI,driver,12,12
2023,12,HAA_HUL,HUL,driver,0,0
2023,12,HAA_MAG,MAG,driver,5,5
2023,12,MCL_NOR,NOR,driver,29,29
2023,12,MCL_PIA,PIA,driver,18,18
2023,12,MER_HAM,HAM,driver,20,20
2023,12,MER_RUS,RUS,driver,27,27
2023,12,RED_PER,PER,driver,39,39
2023,12,RED_VER,VER,driver,46,46
2023,12,WIL_ALB,ALB,driver,8,8
2023,12,WIL_SAR,SAR,driver,2,2
2023,13,ALF_BOT,BOT,driver,7,7
2023,13,ALF_ZHO,ZHO,driver,18,18
2023,13,ALP_GAS,GAS,driver,17,17
2023,13,ALP_OCO,OCO,driver,23,23
2023,13,ALT_DEV,DEV,driver,0,0
2023,13,ALT_RIC,RIC,driver,7,7
2023,13,ALT_TSU,TSU,driver,7,7
2023,13,AST_ALO,ALO,driver,2,2
2023,13,AST_STR,STR,driver,12,12
2023,13,FER_LEC,LEC,driver,26,26
2023,13,FER_SAI,SAI,driver,-8,0
2023,13,HAA_HUL,HUL,driver,13,13
2023,13,HAA_MAG,MAG,driver,9,9
2023,13,MCL_NOR,NOR,driver,15,15
2023,13,MCL_PIA,PIA,driver,-7,0
2023,13,MER_HAM,HAM,driver,32,32
2023,13,MER_RUS,RUS,driver,28,28
2023,13,RED_PER,PER,driver,7,7
2023,13,RED_VER,VER,driver,68,68
2023,13,WIL_ALB,ALB,driver,19,19
2023,13,WIL_SAR,SAR,driver,3,3
