season,round,id,abbr,price,priceChange,percentOwned,x2PercentOwned
2023,1,ALF,ALF,6.2,0,6,
2023,1,ALP,ALP,10.1,-0.1,14,
2023,1,ALT,ALT,6.4,-0.1,3,
2023,1,AST,AST,6.7,0.1,62,
2023,1,FER,FER,22.1,0,32,
2023,1,HAA,HAA,5.3,0,6,
2023,1,MCL,MCL,9.1,-0.1,12,
2023,1,MER,MER,25.1,0,14,
2023,1,RED,RED,27.2,0.1,49,
2023,1,WIL,WIL,5.1,0,2,
2023,2,ALF,ALF,6.2,-0.1,6,
2023,2,ALP,ALP,10,0,11,
2023,2,ALT,ALT,6.3,0,2,
2023,2,AST,AST,6.8,0,72,
2023,2,FER,FER,22.1,0.1,27,
2023,2,HAA,HAA,5.3,-0.1,5,
2023,2,MCL,MCL,9,0,8,
2023,2,MER,MER,25.1,0,13,
2023,2,RED,RED,27.3,0.1,54,
2023,2,WIL,WIL,5.1,-0.1,3,
2023,3,ALF,ALF,6.1,0,5,
2023,3,ALP,ALP,10,-0.1,10,
2023,3,ALT,ALT,6.3,-0.1,2,
2023,3,AST,AST,6.8,0.1,73,
2023,3,FER,FER,22.2,-0.1,26,
2023,3,HAA,HAA,5.2,0,5,
2023,3,MCL,MCL,9,0,7,
2023,3,MER,MER,25.1,0,12,
2023,3,RED,RED,27.4,0.1,56,
2023,3,WIL,WIL,5,-0.1,2,
2023,4,ALF,ALF,6.1,-0.1,5,
2023,4,ALP,ALP,9.9,0,10,
2023,4,ALT,ALT,6.2,-0.1,2,
2023,4,AST,AST,6.9,0.1,74,
2023,4,FER,FER,22.1,0.1,25,
2023,4,HAA,HAA,5.2,0,5,
2023,4,MCL,MCL,9,0,7,
2023,4,MER,MER,25.1,0,13,
2023,4,RED,RED,27.5,0.1,56,
2023,4,WIL,WIL,4.9,-0.1,2,
2023,5,ALF,ALF,6,-0.1,5,
2023,5,ALP,ALP,9.9,0,10,
2023,5,ALT,ALT,6.1,0,2,
2023,5,AST,AST,7,0,75,
2023,5,FER,FER,22.2,0,25,
2023,5,HAA,HAA,5.2,-0.1,5,
2023,5,MCL,MCL,9,-0.1,7,
2023,5,MER,MER,25.1,0,12,
2023,5,RED,RED,27.6,0.1,57,
2023,5,WIL,WIL,4.8,-0.1,2,
2023,7,ALF,ALF,5.9,0,5,
2023,7,ALP,ALP,9.9,0.1,10,
2023,7,ALT,ALT,6.1,-0.1,2,
2023,7,AST,AST,7,0,75,
2023,7,FER,FER,22.2,0,25,
2023,7,HAA,HAA,5.1,-0.1,5,
2023,7,MCL,MCL,8.9,0,7,
2023,7,MER,MER,25.1,0.1,12,
2023,7,RED,RED,27.7,0.1,57,
2023,7,WIL,WIL,4.7,-0.1,2,
2023,8,ALF,ALF,5.9,0,5,
2023,8,ALP,ALP,10,0,10,
2023,8,ALT,ALT,6,0,2,
2023,8,AST,AST,7,0,75,
2023,8,FER,FER,22.2,0,24,
2023,8,HAA,HAA,5,0,5,
2023,8,MCL,MCL,8.9,-0.1,7,
2023,8,MER,MER,25.2,0,12,
2023,8,RED,RED,27.8,0.1,57,
2023,8,WIL,WIL,4.6,-0.1,2,
2023,9,ALF,ALF,5.9,0,5,
2023,9,ALP,ALP,10,0.5,10,
2023,9,ALT,ALT,6,0,2,
2023,9,AST,AST,7,1,75,
2023,9,FER,FER,22.2,0.3,24,
2023,9,HAA,HAA,5,0,5,
2023,9,MCL,MCL,8.8,0.5,7,
2023,9,MER,MER,25.2,0,13,
2023,9,RED,RED,27.9,0.2,57,
2023,9,WIL,WIL,4.5,0,2,
2023,10,ALF,ALF,5.9,0,5,
2023,10,ALP,ALP,10.5,0,10,
2023,10,ALT,ALT,6,0,2,
2023,10,AST,AST,8,0.5,75,
2023,10,FER,FER,22.5,0.3,24,
2023,10,HAA,HAA,5,0,5,
2023,10,MCL,MCL,9.3,0.5,7,
2023,10,MER,MER,25.2,0,13,
2023,10,RED,RED,28.1,0.1,57,
2023,10,WIL,WIL,4.5,0.5,2,
2023,11,ALF,ALF,5.9,0,5,
2023,11,ALP,ALP,10.5,-0.1,10,
2023,11,ALT,ALT,6,0,2,
2023,11,AST,AST,8.5,0.5,75,
2023,11,FER,FER,22.8,0.1,24,
2023,11,HAA,HAA,5,-0.1,5,
2023,11,MCL,MCL,9.8,1,8,
2023,11,MER,MER,25.2,0.1,13,
